file              ex                        +2sigma          +1sigma         -1sigma         -2sigma         observed
2HDM_1000_400   0.00455586011253        0.00849981      0.00634044      0.00328275      0.00244525      0.0063411476473
2HDM_1000_500   0.00905185387406        0.0168879       0.0125976       0.00652236      0.00485836      0.0109880291228
2HDM_1000_600   0.014382830869  0.0268339       0.0200167       0.0103636       0.00771964      0.0137985567084
2HDM_1200_500   0.00323790552048        0.00604092      0.00450623      0.00233309      0.00173787      0.00478185687113
2HDM_1200_600   0.00388388618521        0.00724611      0.00540525      0.00279856      0.00208458      0.00559891552799
2HDM_1200_700   0.00619179229546        0.0115519       0.00861718      0.00446153      0.00332329      0.0090993877737
2HDM_1400_500   0.00178474210304        0.00332977      0.00248384      0.00128601      0.000957917     0.00265506366114
2HDM_1400_600   0.00236353807228        0.00440962      0.00328936      0.00170306      0.00126857      0.00391752793895
2HDM_1400_700   0.00314971262289        0.00587638      0.00438349      0.00226954      0.00169053      0.0053042805279
2HDM_1400_800   0.00389161286337        0.00726053      0.005416        0.00280412      0.00208873      0.00635111460291
2HDM_1600_300   0.00121697342015        0.00227049      0.00169367      0.000876897     0.000653181     0.00157559784569
2HDM_1600_500   0.00129324263972        0.00241279      0.00179982      0.000931853     0.000694117     0.00171458718113
2HDM_1600_600   0.00144713609414        0.0026999       0.00201399      0.00104274      0.000776715     0.00199313348837
2HDM_1600_700   0.00171683639353        0.00320308      0.00238934      0.00123708      0.00092147      0.00247238398823
2HDM_1600_800   0.00208976025709        0.00389884      0.00290834      0.00150579      0.00112163      0.00316945535293
2HDM_1800_500   0.00118803095294        0.00221649      0.0016534       0.000856042     0.000637647     0.00151573861269
2HDM_1800_600   0.00124727620544        0.00232703      0.00173585      0.000898732     0.000669445     0.00161861805462
2HDM_1800_700   0.0013084975049 0.00244125      0.00182105      0.000942845     0.000702304     0.00171041862333
2HDM_1800_800   0.0014429156813 0.00269203      0.00200812      0.0010397       0.00077445      0.00197503329036
2HDM_2000_400   0.00116173009537        0.00216742      0.00161679      0.000837091     0.00062353      0.00142492721962
2HDM_2000_500   0.00116323794395        0.00217024      0.00161889      0.000838177     0.00062434      0.00144576600997
2HDM_2000_600   0.00118860429681        0.00221756      0.00165419      0.000856455     0.000637955     0.00148994810248
2HDM_2000_700   0.00119521437657        0.0022299       0.00166339      0.000861218     0.000641502     0.00150663559807
2HDM_2000_800   0.00123097976412        0.00229662      0.00171317      0.000886989     0.000660699     0.00158893905821
2HDM_2200_300   0.00118430203322        0.00220954      0.00164821      0.000853355     0.000635645     0.00145323956956
2HDM_2200_400   0.00119960121454        0.00223808      0.0016695       0.000864379     0.000643857     0.0014613960269
2HDM_2200_500   0.00118927139157        0.00221881      0.00165512      0.000856936     0.000638313     0.00147939802883
2HDM_2200_600   0.0011641748731 0.00217199      0.00162019      0.000838852     0.000624843     0.00144781719293
2HDM_2200_700   0.00117557662842        0.00219326      0.00163606      0.000847068     0.000630962     0.00147141994788
2HDM_2400_300   0.00122057683226        0.00227721      0.00169869      0.000879493     0.000655115     0.00147148885701
2HDM_2400_400   0.00123398386521        0.00230223      0.00171735      0.000889154     0.000662311     0.00150157466626
2HDM_2400_500   0.00120957232994        0.00225668      0.00168337      0.000871564     0.000649209     0.00148007365671
2HDM_2400_600   0.00118723680868        0.00221501      0.00165229      0.00085547      0.000637221     0.00145145494862
2HDM_2400_700   0.00119010953888        0.00222037      0.00165629      0.00085754      0.000638762     0.00146821431066
2HDM_2600_300   0.00127760458218        0.00238361      0.00177806      0.000920585     0.000685723     0.00153647033317
2HDM_2600_400   0.00124681882984        0.00232617      0.00173521      0.000898402     0.0006692       0.00151287146223
2HDM_2600_500   0.00124579480751        0.00232426      0.00173379      0.000897664     0.00066865      0.00150793373355
2HDM_2600_600   0.00123210966219        0.00229873      0.00171474      0.000887803     0.000661305     0.00150327009675
2HDM_2600_700   0.00121728762349        0.00227108      0.00169411      0.000877123     0.00065335      0.00149085626339
2HDM_2800_300   0.00129872866163        0.00242302      0.00180745      0.000935806     0.000697061     0.00155260319264
2HDM_2800_400   0.00132194478187        0.00246633      0.00183976      0.000952534     0.000709522     0.00157980150468
2HDM_2800_500   0.00131614116361        0.00245551      0.00183169      0.000948353     0.000706407     0.00157045832873
2HDM_2800_600   0.00126125109791        0.0023531       0.0017553       0.000908801     0.000676946     0.00153524722955
2HDM_3000_200   0.00139490736494        0.00260246      0.00194131      0.00100511      0.000748683     0.00165290221903
2HDM_3000_300   0.00138975946991        0.00259286      0.00193414      0.0010014       0.00074592      0.00163572153348
2HDM_3000_400   0.00138395415381        0.00258202      0.00192606      0.000997216     0.000742804     0.00164247102504
2HDM_3000_500   0.00137257519506        0.0025608       0.00191023      0.000989016     0.000736696     0.00162250752501
2HDM_3000_600   0.00133932595712        0.00249876      0.00186395      0.000965059     0.000718851     0.00159657326065
2HDM_400_300    0.124109621683  0.23155 0.172725        0.0894279       0.0666128       0.171757534812
2HDM_400_400    0.0369130494222 0.0688682       0.0513723       0.0265979       0.0198122       0.0526475897143
2HDM_600_300    0.0429727444641 0.0801737       0.0598056       0.0309642       0.0230646       0.0461379223679
2HDM_600_400    0.379154083027  0.707383        0.527673        0.273202        0.203502        0.553167210484
2HDM_800_300    0.0128878578637 0.0240447       0.0179362       0.00928642      0.00691725      0.0110553098449
2HDM_800_400    0.0153621705708 0.028661        0.0213797       0.0110693       0.00824527      0.0115834944495
2HDM_800_500    0.0309199861543 0.057687        0.0430317       0.0222796       0.0165956       0.0260216297522
