file           exp             +2sigma         +1sigma         -1sigma         -2sigma         observed
2HDM_1000_300  0.00327109655647   0.00610284   0.00455242   0.00235701   0.00175568   0.00384192076826
2HDM_1000_400  0.00415363347096   0.00774938   0.00578066   0.00299292   0.00222936   0.00489936520126
2HDM_1000_500  0.00768477055941   0.0143374   0.010695   0.0055373   0.00412461   0.0102274764167
2HDM_1000_600  0.0133561653997   0.0249184   0.0185879   0.00962386   0.0071686   0.019073242601
2HDM_1000_700  0.0164199285847   0.0306344   0.0228518   0.0118315   0.008813   0.024282128035
2HDM_1000_800  0.0138622009248   0.0258625   0.0192922   0.00998848   0.0074402   0.0192163813179
2HDM_1200_300  0.00207551657081   0.00387226   0.00288852   0.00149552   0.00111398   0.00206355826798
2HDM_1200_400  0.00255677194347   0.00477014   0.00355829   0.0018423   0.00137229   0.00274659916187
2HDM_1200_500  0.00315917938642   0.00589404   0.00439666   0.00227636   0.00169561   0.00363878754219
2HDM_1200_600  0.00372732589467   0.00695402   0.00518736   0.00268574   0.00200055   0.00438462354481
2HDM_1200_700  0.00537507761197   0.0100282   0.00748055   0.00387304   0.00288494   0.00662950095012
2HDM_1200_800  0.00663637665353   0.0123814   0.00923592   0.00478188   0.00356191   0.00854998244221
2HDM_1400_300  0.00130956045636   0.00244323   0.00182253   0.000943611   0.000702875   0.00116433677587
2HDM_1400_400  0.00139743167782   0.00260717   0.00194482   0.00100693   0.000750038   0.00127074426325
2HDM_1400_500  0.00167488537157   0.00312481   0.00233096   0.00120685   0.000898954   0.00154353448635
2HDM_1400_600  0.00209708650785   0.00391251   0.00291854   0.00151107   0.00112556   0.00210880334964
2HDM_1400_700  0.00285682401246   0.00532994   0.00397587   0.0020585   0.00153333   0.00305690210239
2HDM_1400_800  0.00354793436404   0.00661933   0.0049377   0.00255648   0.00190427   0.00396388350107
2HDM_1600_300  0.0012014135103   0.00224146   0.00167202   0.000865685   0.00064483   0.00106552176599
2HDM_1600_400  0.0012104657512   0.00225835   0.00168462   0.000872208   0.000649688   0.00107055016211
2HDM_1600_500  0.00125276759592   0.00233727   0.00174349   0.000902688   0.000672393   0.00112381399713
2HDM_1600_600  0.00137989409324   0.00257445   0.00192041   0.00099429   0.000740625   0.00125142514504
2HDM_1600_700  0.00157800509571   0.00294406   0.00219613   0.00113704   0.000846956   0.00148623594147
2HDM_1600_800  0.00188253444113   0.00351222   0.00261994   0.00135647   0.0010104   0.00177020647778
2HDM_1800_300  0.00118582277089   0.00221237   0.00165032   0.000854451   0.000636462   0.00103545750676
2HDM_1800_400  0.00120393479912   0.00224617   0.00167553   0.000867502   0.000646183   0.0010640622309
2HDM_1800_500  0.00117861582848   0.00219893   0.00164029   0.000849258   0.000632594   0.00104067644518
2HDM_1800_600  0.00118800108418   0.00221644   0.00165335   0.000856021   0.000637631   0.00103078530907
2HDM_1800_700  0.0012565135414   0.00234426   0.0017487   0.000905388   0.000674403   0.00111591456864
2HDM_1800_800  0.00136751230383   0.00255135   0.00190318   0.000985368   0.000733979   0.00122480430492
2HDM_2000_300  0.00123101933461   0.0022967   0.00171322   0.000887018   0.00066072   0.00104936239811
