mzp,mA,simulated
200,300,1
200,400,1
200,500,1
200,600,1
200,700,1
200,800,1
400,300,1
400,400,1
400,500,1
400,600,1
400,700,1
400,800,1
600,300,1
600,400,1
600,500,1
600,600,1
600,700,1
600,800,1
800,300,1
800,400,1
800,500,1
800,600,1
800,700,1
800,800,1
1000,300,1
1000,400,1
1000,500,1
1000,600,1
1000,700,1
1000,800,1
1200,300,1
1200,400,1
1200,500,1
1200,600,1
1200,700,1
1200,800,1
1400,300,1
1400,400,1
1400,500,1
1400,600,1
1400,700,1
1400,800,1
1600,300,1
1600,400,1
1600,500,1
1600,600,1
1600,700,1
1600,800,1
1800,300,1
1800,400,1
1800,500,1
1800,600,1
1800,700,1
1800,800,1
2000,300,1
2000,400,1
2000,500,1
2000,600,1
2000,700,1
2000,800,1
2200,300,1
2200,400,1
2200,500,1
2200,600,1
2200,700,1
2200,800,1
2400,300,1
2400,400,1
2400,500,1
2400,600,1
2400,700,1
2400,800,1
2600,300,1
2600,400,1
2600,500,1
2600,600,1
2600,700,1
2600,800,1
2800,300,1
2800,400,1
2800,500,1
2800,600,1
2800,700,1
2800,800,1
3000,300,1
3000,400,1
3000,500,1
3000,600,1
3000,700,1
3000,800,1
