mzp,mdm,ms,obs,exp,exp_p1,exp_m1,type
2100,200,210,-0.38954109670918446,0.2848215627330642,0.0,0.0,zz
500,200,335,0.570560004184,0.677659577950858,0.0,0.0,ww
1000,200,160,2.2937265204134882,3.1570861947000246,0.0,0.0,ww
1000,200,260,0.5208135886721412,0.428427681808458,0.0,0.0,zz
500,200,210,-0.7165741603708828,1.419399116462856,0.0,0.0,ww
500,200,360,0.6089959423279977,0.19619633788047958,0.0,0.0,zz
1700,200,335,0.6675352104283078,0.143403215844388,0.0,0.0,zz
500,200,185,0.3483030692554647,0.2672277814424392,0.0,0.0,zz
500,200,235,0.3863116977974758,0.36104761315112155,0.0,0.0,zz
2500,200,160,2.295336034464967,0.8624091769543738,0.0,0.0,vv
1700,200,210,-0.37242082358308504,1.5610140334291087,0.0,0.0,ww
500,200,260,0.5782863962129814,0.84790376582354,0.0,0.0,ww
500,200,185,0.37219786929262083,2.054605681165776,0.0,0.0,vv
1700,200,185,0.5864452813223193,1.3811948162601115,0.0,0.0,ww
500,200,260,0.5414688615620988,1.0737333196859775,0.0,0.0,vv
1700,200,160,2.103163013910242,2.132991596578046,0.0,0.0,ww
1700,200,260,0.580890865833549,0.2534673237101592,0.0,0.0,zz
1000,200,210,-0.565354538755484,0.5344594574993511,0.0,0.0,zz
1700,200,260,0.2902879604289857,1.1325856632716576,0.0,0.0,vv
1000,200,185,0.36407959431951614,2.104379802306274,0.0,0.0,ww
500,200,360,0.4478725477146119,0.8457001476532767,0.0,0.0,vv
2500,200,160,2.2953360343635305,0.8624091259962132,0.0,0.0,ww
1700,200,310,0.4593257605894609,0.19070353014120398,0.0,0.0,zz
1000,200,235,0.4465740014715505,1.7718593494699217,0.0,0.0,ww
1700,200,360,0.29954431240328433,0.14842127919976056,0.0,0.0,zz
1000,200,310,0.29892466581348975,0.46657520182202833,0.0,0.0,zz
1700,200,285,0.1707317793079685,1.1172890656055847,0.0,0.0,vv
