region,sample,yield,uncertainty
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,VHbb,0.00980551683631,0.00545641553763
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Bkg,160.051717049,11.1257334288
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,stop,1.29597019672,1.14595741141
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,MC,197.544531144,15.7244905849
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,wjets,23.8187414011,6.05002393277
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Signal,37.4928140948,8.28769124507
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/sqrt(S+B),2.66756820817,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,diboson,10.7218296657,3.31047840033
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/B,0.234254369688,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,ttbar,7.44954825897,4.94418395819
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,SignalExpected,37.4928140948,8.28769124507
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,zjets,116.755822009,9.92588799143
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,data,178.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,monoSwwallzp1000dm200dh160,37.4928140948,8.28769124507
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,652.641589637,23.2912787652
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,709.164821808,24.2737768951
