region,sample,yield,uncertainty
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,VHbb,0.00754248944084,0.00584587705773
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Bkg,130.959550175,16.0760491095
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,stop,1.57008094494,1.84862271471
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,MC,164.787814519,22.0531971399
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,wjets,19.8978881405,6.54676486541
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Signal,33.8282643444,10.4579779297
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/sqrt(S+B),2.63522176409,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,diboson,8.88453307358,4.69846122078
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/B,0.258310786034,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,ttbar,4.51370139219,4.08838383794
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,monoSwwallzp1000dm200dh160,33.8282643444,10.4579779297
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,zjets,96.0858041343,14.8416666788
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,data,178.0,0.0
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,607.01580647,57.9731295779
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,662.542792146,60.5410923209
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,55.5269856759,12.1164139648
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,55.5269856759,12.1164139648
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,39.8582031734,11.1843025983
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,337.484547512,50.0650845186
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.0914753538277,0.0
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,stop,5.58810841279,3.72254947367
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),2.15723337786,0.0
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.0688273401783,0.0288537662729
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,36.7902903034,10.8666849357
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,647.0,0.0
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,wjets,187.225829729,33.7393010162
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,monoSwwallzp1000dm200dh160,893.83826349,132.501450311
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,MC,77091.1952981,3919.56278242
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,Bkg,76197.3570346,3929.5336704
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,Signal,893.83826349,132.501450311
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,wjets,25100.0373862,1078.818794
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,zjets,45154.2320825,4624.23468039
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,stop,637.623943385,164.3743325
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,S/B,0.0117305678081,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,S/sqrt(S+B),3.21926369804,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,VHbb,6.72950985606,2.37677768213
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,ttbar,2532.99203884,540.017338194
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,data,80519.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D0lep_T0_L0_distmWW_J2,diboson,2765.74207386,586.054668557
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D1lep_T0_L1_distmWW_J1,zjets,1.13946004152,1.32286008039
