region,sample,yield,uncertainty
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,VHbb,0.0129526697836,0.0198974690617
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Bkg,169.216109233,145.589086734
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,stop,3.00329801779,5.99455624761
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,MC,213.097865871,183.344587716
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,wjets,33.8904703201,52.684519411
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,Signal,43.8817566386,39.1684373332
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/sqrt(S+B),3.00603791754,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,diboson,15.9655984821,26.5296850721
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,S/B,0.259323753735,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,ttbar,8.38300194231,13.5623684777
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,SignalExpected,43.8817566386,39.1684373332
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,zjets,107.960787801,53.5669038327
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,data,178.0,0.0
Region_BMin500_incFat1_Fat1_incJet1_Y2015_D0lep_T0_L0_distmWW_J1,monoSwwallzp1000dm200dh160,43.8817566386,39.1684373332
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,685.05864899,328.235276519
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,750.51250564,359.537878414
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,65.4538566499,34.1209258674
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,65.4538566499,34.1209258674
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,47.1446228953,30.2058010792
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,362.639727829,133.176724598
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.0955448949465,0.0
Region_distmWW_J1_L0_T0_D0lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,stop,9.20848153555,14.7474209306
