
sim results 	exp limit	obs limit 	Sigma1Plus	Sigma1Minus	Sigma2Plus	Sigma2Minus
sinp 0.35	1.55553	1.69173	2.16485	1.12084	2.90213	0.834892



mA=1300 GeV, ma=350 GeV, tanb=1.0, mDM=10 GeV
sinp	x-section	merged acc	resl acc	total acc	exp limit	obs limit	Sigma1Plus	Sigma1Minus	Sigma2Plus	Sigma2Minus
0.1	0.00127	0.42384	0.06568	0.48952	28.453	26.166	39.599	20.502	53.085	15.272
0.2	0.004589	0.41488	0.07082	0.4857	7.936	7.298	11.045	5.719	14.807	4.260
0.3	0.008728	0.40866	0.0719	0.48056	4.217	3.878	5.869	3.039	7.868	2.264
0.35	0.01083	0.40724	0.07438	0.48162	3.391	3.119	4.720	2.444	6.327	1.820
0.4	0.01274	0.40413	0.07493	0.47907	2.898	2.665	4.034	2.088	5.407	1.556
0.5	0.01612	0.38428	0.07514	0.45942	2.389	2.197	3.324	1.721	4.456	1.282
0.6	0.01842	0.371525	0.08145	0.452975	2.120	1.950	2.950	1.528	3.955	1.138
0.7	0.01938	0.35944	0.08660	0.44604	2.046	1.882	2.848	1.474	3.818	1.098
0.8	0.01831	0.34328	0.09022	0.4335	2.229	2.049	3.102	1.606	4.158	1.196
0.9	0.0138	0.32796	0.09438	0.42234	3.035	2.791	4.224	2.187	5.662	1.629

* no sim. sample at (1000, 350), emulated from (1100, 500) with sinp = 0.35
sample	x-section	merged acc	resl acc	total acc	exp limit	obs limit 	Sigma1Plus	Sigma1Minus	Sigma2Plus	Sigma2Minus
1100, 500, 0.35	0.006746	0.4126	0.06764	0.48024	5.46014	5.0212	7.59894	3.93433	10.1869	2.9306
