HeavyHiggsMass,MedMass,TanBeta,DarkMatterMass,ExpLimit,ObsLimit,Sigma1Plus,Sigma1Minus,Sigma2Plus,Sigma2Minus
1400,150,1.0,10,2.53739,2.694,3.53131,1.82833,4.73397,1.36188
350,200,1.0,10,8.76846,9.30142,12.2032,6.31816,16.3592,4.70626
600,200,0.5,10,2.01216,3.32221,2.80034,1.44987,3.75406,1.07998
600,250,1.0,124,2.99659,4.6141,4.17039,2.15921,5.5907,1.60835
600,200,3.0,10,6.20936,8.59178,8.64163,4.47419,11.5847,3.33272
600,400,0.5,10,1.00786e+07,-nan,1.40266e+07,7.26222e+06,1.88036e+07,5.40947e+06
1100,250,1.0,10,1.70507,1.51155,2.37297,1.2286,3.18113,0.915156
1200,250,1.0,10,1.97582,1.86251,2.74977,1.42369,3.68626,1.06047
600,350,0.3,10,15.275,20.6308,21.2584,11.0065,28.4984,8.19851
900,400,1.0,10,3.64843,7.2191,5.07756,2.6289,6.80683,1.95821
1100,350,1.0,10,2.33403,1.95289,3.2483,1.6818,4.35457,1.25274
1200,350,1.0,10,2.67302,2.5518,3.72007,1.92606,4.98702,1.43468
600,200,1.0,10,2.03554,2.82379,2.83289,1.46672,3.79768,1.09253
400,250,1.0,10,1.49562e+06,-nan,2.08147e+06,1.07768e+06,2.79036e+06,802738
600,300,0.5,10,6.46925,10.3238,9.00333,4.66146,12.0696,3.47222
1300,350,1.0,10,3.10585,3.17219,4.32245,2.23794,5.79455,1.66699
350,300,1.0,10,5.86486e+23,-nan,8.16219e+23,4.22596e+23,1.0942e+24,3.14782e+23
1400,250,1.0,10,2.76726,2.73659,3.85122,1.99396,5.16284,1.48526
250,150,1.0,10,21.9389,29.892,30.5326,15.8082,40.9311,11.7752
700,400,1.0,10,13.5692,24.6796,18.8844,9.77735,25.3158,7.28293
900,500,1.0,10,10.6584,18.3753,14.8334,7.67998,19.8853,5.72065
500,150,1.0,10,1.47175,1.55193,2.04826,1.06048,2.74583,0.789929
600,250,1.0,10,2.91823,4.74717,4.06133,2.10274,5.4445,1.56629
500,300,1.0,10,399.363,-nan,555.797,287.763,745.085,214.348
700,500,1.0,10,5.33119e+19,4.29369e+19,7.41948e+19,3.84142e+19,9.94634e+19,2.86139e+19
600,400,3.0,10,4.47141e+19,5.2687e+18,6.22291e+19,3.2219e+19,8.34226e+19,2.39992e+19
300,250,1.0,10,1.39881e+10,8.33777e+14,1.94673e+10,1.00792e+10,2.60973e+10,7.50775e+09
600,100,1.0,10,1.61205,2.7826,2.24351,1.16157,3.00758,0.865229
600,300,0.3,10,5.6913,7.25426,7.92064,4.10089,10.6182,3.05467
500,350,1.0,10,3.78843e+19,-nan,5.2724e+19,2.72977e+19,7.06802e+19,2.03335e+19
600,250,1.0,200,2.15836e+54,-nan,3.00382e+54,1.55522e+54,4.02683e+54,1.15845e+54
700,300,1.0,10,4.70742,8.18878,6.55136,3.39195,8.78257,2.52659
600,400,1.0,10,1.12122e+10,-nan,1.56041e+10,8.07899e+09,2.09184e+10,6.01786e+09
1300,150,1.0,10,2.20005,2.27549,3.06183,1.58526,4.10461,1.18082
600,250,1.0,126,26.6117,32.6446,37.0358,19.1752,49.6491,14.2832
250,100,1.0,10,7.19504,5.02463,10.0134,5.18442,13.4237,3.86176
400,200,1.0,10,19.7935,32.6971,27.5468,14.2623,36.9285,10.6237
500,200,1.0,10,3.5894,4.71474,4.9954,2.58636,6.69669,1.92652
600,100,3.0,10,5.1487,9.10463,7.16551,3.70993,9.60587,2.76344
600,400,0.3,10,16288.4,-nan,22668.7,11736.7,30389.1,8742.41
600,300,3.0,10,12.2974,17.4715,17.1144,8.86095,22.9431,6.60033
600,100,0.5,10,4.34613,4.52627,6.04856,3.13163,8.10852,2.33268
600,250,1.0,100,2.83579,4.10183,3.9466,2.04334,5.2907,1.52204
400,300,1.0,10,4.77589e+24,-nan,6.64665e+24,3.44129e+24,8.91031e+24,2.56334e+24
600,250,1.0,125,0.267559,0.441198,0.372365,0.192791,0.499181,0.143606
