HeavyHiggsMass,MedMass,TanBeta,DarkMatterMass,ExpLimit,ObsLimit,Sigma1Plus,Sigma1Minus,Sigma2Plus,Sigma2Minus
600,350,0.5,10,14.8505,19.5729,20.6676,10.7006,27.7064,7.97065
300,250,1.0,10,4.11615e+14,2.87418e+14,5.72849e+14,2.96592e+14,7.67945e+14,2.20924e+14
400,100,1.0,10,1.05512,0.997229,1.46842,0.760273,1.96852,0.566311
400,250,1.0,10,2.3097e+08,-nan,3.21444e+08,1.66427e+08,4.30918e+08,1.23968e+08
600,300,1.0,10,5.93,6.84829,8.25285,4.2729,11.0635,3.18279
600,250,1.0,124,2.7129,3.32539,3.77558,1.9548,5.06143,1.45609
1200,350,1.0,10,6.41642,6.22877,8.9298,4.62339,11.971,3.44386
600,250,1.0,100,2.59789,3.26787,3.61551,1.87192,4.84684,1.39435
600,400,3.0,10,1.81924e+20,2.00289e+20,2.53185e+20,1.31086e+20,3.39413e+20,9.76431e+19
1300,250,1.0,10,8.11875,8.1998,11.299,5.85001,15.1471,4.35754
700,400,1.0,10,13.2592,16.2464,18.453,9.55401,24.7376,7.11657
300,150,1.0,10,9.09996,9.47743,12.6645,6.55702,16.9777,4.88418
600,350,1.0,10,20.6056,25.4643,28.677,14.8474,38.4435,11.0595
1200,250,1.0,10,5.61446,5.53561,7.8137,4.04553,10.4748,3.01342
250,150,1.0,10,24.2081,33.1803,33.6906,17.4433,45.1647,12.9931
500,100,1.0,10,0.754963,0.769126,1.05069,0.543993,1.40852,0.405208
300,200,1.0,10,22.3524,4.35721e+07,31.108,16.1061,41.7025,11.9971
600,100,1.0,10,0.858457,1.1047,1.19472,0.618566,1.60161,0.460756
1400,250,1.0,10,11.4082,11.3229,15.8768,8.22021,21.284,6.12305
500,350,1.0,10,3.86585e+18,7.36964e+33,5.38015e+18,2.78556e+18,7.21247e+18,2.0749e+18
400,200,1.0,10,21.5879,24.4765,30.0441,15.5553,40.2763,11.5868
1300,350,1.0,10,9.18759,8.76318,12.7865,6.62017,17.1412,4.93122
1300,150,1.0,10,7.72625,7.84047,10.7527,5.56719,14.4148,4.14688
1000,400,1.0,10,4.28535,4.91337,5.96397,3.08783,7.99513,2.30006
600,250,1.0,200,1.49945e+45,-nan,2.08681e+45,1.08044e+45,2.79751e+45,8.04796e+44
600,250,1.0,125,0.249244,0.31475,0.346876,0.179594,0.465012,0.133776
600,300,0.3,10,4.84624,6.092,6.74456,3.49198,9.04156,2.6011
1100,150,1.0,10,3.24213,3.41449,4.5121,2.33613,6.04879,1.74013
350,300,1.0,10,1.46363e+17,2.79125e+16,2.03695e+17,1.05462e+17,2.73067e+17,7.85566e+16
700,300,1.0,10,3.08751,3.97564,4.29692,2.22472,5.76033,1.65715
700,500,1.0,10,3.47848e+18,5.89575e+18,4.84104e+18,2.50644e+18,6.48976e+18,1.86699e+18
